Name,Typicality,Goodness,Imageability,Familiarity,Category
frog,17.96428571,18.42857143,6.45,3.357142857,Reptile
crocodile,10.75,12.46428571,6.32,2.928571429,Reptile
toad,16.14285714,16.64285714,5.47,2.892857143,Reptile
salamander,13.92857143,16.57142857,5.29,2.678571429,Reptile
tortoise,13,14.17857143,6.52,3.071428571,Reptile
eagle,16.92592593,17.03571429,5.27,2.571428571,Bird
dove,18.14285714,18.82142857,6.32,3.964285714,Bird
duck,12.78571429,11.17857143,6.48,3.785714286,Bird
magpie,17.89285714,16.57142857,5,2.964285714,Bird
pheasant,13.71428571,13.25,5.03,2.821428571,Bird
vulture,15.14285714,14.14285714,4.45,2.285714286,Bird
rooster,11.07142857,9.75,6.26,3.428571429,Bird
turkey,11.67857143,10.5,5.5,3.25,Bird
canary,17.89285714,17.89285714,6.28,3.25,Bird
chicken,11.57142857,10.28571429,6.78,4.25,Bird
cuckoo,16,15.85714286,3.97,2.642857143,Bird
crow,18.10714286,16.57142857,5.6,3.035714286,Bird
chickadee,17.10714286,17.64285714,3.31,2.821428571,Bird
seagull,17.96428571,18.14285714,5.66,3.071428571,Bird
blackbird,18.82142857,18.42857143,5.09,3.285714286,Bird
sparrow,19.17857143,18.96428571,5.91,3.5,Bird
stork,15.39285714,14.53571429,6.3,2.964285714,Bird
parrot,15.85714286,15.53571429,6.56,3.107142857,Bird
parakeet,17.64285714,16.60714286,5.72,3.035714286,Bird
peacock,12.28571429,10.78571429,6.21,2.785714286,Bird
pelican,12.57142857,12.03571429,5.15,2.392857143,Bird
penguin,8.642857143,7.678571429,6.45,2.785714286,Bird
heron,16.10714286,14.82142857,5.23,2.821428571,Bird
robin,18.32142857,17.5,5.88,3.142857143,Bird
woodpecker,16.42857143,17.25,5.18,2.785714286,Bird
ostrich,11.21428571,10,6.4,2.714285714,Bird
owl,16,15.35714286,6.33,3,Bird
falcon,15.5,16.67857143,4.91,2.535714286,Bird
swan,12.82142857,11.17857143,6.38,3.035714286,Bird
swallow,17.85714286,17.25,5.33,3,Bird
anchovy,13.14285714,14,4.13,2.75,Fish
dolphin,9.178571429,8.928571429,6.5,3.214285714,Fish
trout,17.89285714,17.32142857,5.1,2.892857143,Fish
goldfish,18.89285714,18.46428571,6.54,3.357142857,Fish
shark,13.21428571,11.75,6.14,3.035714286,Fish
herring,17.07142857,17.07142857,4.41,2.821428571,Fish
squid,10.67857143,9.964285714,6.48,2.964285714,Fish
cod,18.10714286,17.71428571,4.58,3.357142857,Fish
carp,16,16.42857143,4.58,2.285714286,Fish
orca,9.857142857,8.714285714,6.26,2.571428571,Fish
eel,15.67857143,16.5,4.59,2.535714286,Fish
piranha,15.32142857,14.21428571,4.62,2.535714286,Fish
plaice,15.96153846,16.19230769,4.03,2.321428571,Fish
flatfish,14.32142857,15.25,4,2,Fish
sperm whale,9.892857143,11.42857143,4.8,2.178571429,Fish
ray,14.5,16,4.56,2.392857143,Fish
sardine,15.53571429,13.17857143,4.64,2.857142857,Fish
pike,16.28571429,16.53571429,4.82,2.25,Fish
stickleback,14.75,15.67857143,3.82,2.392857143,Fish
sole,15.14285714,15.2962963,6.4,3.107142857,Fish
whale,10.42857143,9,6.18,3.107142857,Fish
salmon,18.39285714,17.25,5.9,3.571428571,Fish
swordfish,14.64285714,15.10714286,4.48,2.25,Fish
bee,17.07142857,15.75,6.14,3.464285714,Insect
leech,11.35714286,10.42857143,4.28,2.178571429,Insect
horsefly,15.92,14.81481481,3.94,2.607142857,Insect
centipede,13.78571429,10.71428571,5.48,2.464285714,Insect
fruit fly,16.25,13.71428571,4.68,2.928571429,Insect
bumblebee,15.85714286,15.35714286,5.71,3.035714286,Insect
cockroach,16.96428571,13.10714286,4.5,2.5,Insect
beetle,16.25,14.17857143,5.84,2.928571429,Insect
